E_exfoliationperAtom,MPE,Bond_mean,Bond_max,R_atom,R_vdw,R_cov,D_EN,m_atom,N_mendeleev,I,DP,Density,T_boil,T_melt,H_spec,H_fuse,H_evap,TC,EA
0.124186475,0.3259326526299704,5.686294745535179,9.517022178995079,117.5,253.5,125.0,1.7799999999999998,115.106903163,138.5,21.9035,30.740000000000002,12.0,2286.51,1395.03,0.133,14.315,308.54,73.528,4.183089700000001
0.223182255,0.31268562917319304,2.6597929302777428,4.201543871557981,287.5,371.0,266.0,1.1599999999999997,198.207,57.0,9.515,293.5,6.0,2864.0,1453.95,0.2945,17.7,239.6,24.43,0.66762
0.084338799,0.2773924040984405,2.4203613040935896,2.5457731892270608,145.0,188.0,123.5,0.78,118.22,92.5,8.234,34.7,6.0,1223.912,481.3,0.43,2.7699999999999996,86.45,23.185000000000002,1.227052015
,0.317941451285362,2.810770263516742,2.810770263516742,172.5,283.5,168.0,1.0,83.42500000000001,133.0,16.506,58.1,6.0,2681.1,1617.2,0.251,20.41,315.41,0.018,3.9867250000000003
0.075485191,0.3302480813883101,4.422440185592486,6.903140651144621,205.0,304.5,195.5,0.45999999999999996,177.43947,139.0,14.129999999999999,68.9,11.0,2544.0,1678.2,0.238,28.27,83.9,117.0,3.5840368
,0.28283572733698364,4.979305298784532,8.079653200083644,207.5,314.0,200.0,0.0,176.553605,130.0,12.5685,77.5,11.0,3838.0,1945.2,0.3225,29.810000000000002,342.3,39.6,2.245876
,0.32082132115405937,4.783979523807887,8.010940083739346,125.0,199.5,119.0,0.56,138.4352845,90.5,10.5175,28.5,11.0,1705.95,801.74,0.129,11.625,184.78,159.0025,2.8361091000000003
0.164590329,0.2895318750076976,3.6167497091947802,4.517464564051,285.0,475.0,285.99999999999994,1.06,173.85049999999998,260.0,27.695500000000003,60.65,7.0,1977.8,1373.3,0.703,46.44,250.62,74.51,7.421936950000001
0.153033713,0.2997451884077783,3.6346723939908743,4.6235399541037205,160.0,276.5,155.5,2.49,59.809000000000005,103.0,16.457,103.89999999999999,2.0,918.69,575.8,0.301,9.2,144.0,0.054,1.4851135
,0.27036088355779575,3.803613419155718,3.915326967785557,272.5,461.0,271.0,1.6600000000000001,161.37394,238.5,29.6945,66.2,11.0,3326.2,1978.9,0.14,25.17,419.82,28.768,7.38645
,0.5188951131081099,2.3831045323481153,2.7667719601460505,325.0,506.5,320.0,1.0099999999999998,150.7715,165.5,19.994,178.9,11.0,6298.1,3389.5,1.569,33.43000000000001,693.6000000000001,33.37,2.13917
0.087046555,0.2920447808919882,3.1496720173847783,4.0172834712484065,122.5,255.5,133.0,1.8199999999999998,66.973403163,132.0,20.966,47.24,6.0,2527.51,1498.53,0.251,14.51,301.54,0.056,3.7751897000000008
0.188032603,0.38085194874572675,2.5954676785853956,2.6171196855688166,167.5,286.5,164.0,0.3799999999999999,128.1685,132.5,14.843499999999999,46.4,13.0,2919.324,1727.5,0.7985,15.035,312.5,73.77,2.8590040300000004
0.071560158,0.37948004710018035,2.736932342883384,2.9607511175022942,192.5,296.5,190.0,1.66,169.149,130.5,15.2225,72.5,9.0,3066.9,1517.4,0.146,23.12,317.06,11.505,3.3705882000000007
0.108414125,0.40378898087457693,3.3738449782885347,4.001527399780109,125.0,202.0,120.0,0.1499999999999999,137.9687845,87.0,9.4885,32.45,12.0,2019.05,913.79,0.129,8.955,199.85,159.26,2.16465
,0.3184879343716972,2.845539791943827,3.5426341063243725,375.0,634.0,383.5,0.97,107.1315385,332.0,31.884999999999998,106.3,7.0,4534.5599999999995,1898.5,2.73,13.825,310.35,237.675,5.625590075000001
0.076214699,0.26957650975780817,2.851928942329281,3.440577256967452,282.5,408.0,272.5,1.1600000000000001,280.830645,188.0,19.4495,86.35,15.0,3535.25,2214.55,0.14,35.63,441.925,57.5,4.7495552
0.057635858,0.3231768650792154,2.5399577809387237,2.5399577809387237,175.0,258.0,164.5,2.46,14.9395,50.5,12.196,166.76250000000002,1.0,1163.2450000000001,581.09,6.978,5.78,296.0,84.81349999999999,1.34860575
0.163430353,0.5458520233578431,2.639692154493808,2.702446992189039,167.5,201.0,142.0,0.24999999999999978,163.07,90.5,7.3580000000000005,46.5,9.0,1819.0,740.25,0.16649999999999998,12.194999999999999,178.8,35.265,0.7115
,0.23470439174863011,0.0,0.0,192.5,294.0,182.0,1.27,136.111,147.0,16.3065,44.0,7.0,850.9,562.95,0.232,13.625,59.11,48.455000000000005,6.727176400000001
,0.32652054161067756,3.412379220383793,4.668154963248738,280.0,401.0,273.0,0.4399999999999997,196.13076925000001,185.0,15.9045,93.4,11.0,4232.0,1822.6,0.7575000000000001,35.495,434.84999999999997,155.14499999999998,1.785415
0.039757349,0.33103392057207687,4.658769904494089,7.444795740346496,340.0,596.0,346.5,1.8299999999999998,77.961577,312.5,32.385,123.55,7.0,5615.285,1949.2,3.6,43.0,1136.4,474.0405,3.05733025
0.043608589,0.42987239645190445,3.9706653993939756,6.344717041054339,417.5,685.5,413.0,0.41999999999999993,208.04500000000002,278.0,31.357999999999997,169.3,19.0,8763.148,5107.0,1.8405,44.46,906.0,1.08,5.27620806
,0.3062116015422405,3.156676409685216,4.1135126669336435,107.5,182.5,108.5,0.3799999999999999,55.982,104.0,11.085,20.2,2.0,524.862,325.95,0.732,5.9,20.03,0.1375,2.7203461150000003
,0.2565935455772634,2.455747909465583,2.455747909465583,180.0,291.0,177.5,0.5,127.7655,139.5,14.238,48.65,7.0,4458.0,2813.9,0.5605,40.16,390.4,25.225,1.6770595
,0.30199857508940026,1.7569400096729755,2.6432778366706984,137.5,312.5,159.0,2.37,41.988373994499995,200.0,29.122500000000002,34.51,3.0,1497.515,547.045,0.9,6.14,151.86,118.542,5.318199550000001
,0.2632643608578588,2.244201168941249,3.7299313490714083,245.0,386.0,239.99999999999997,0.7999999999999998,167.831,188.0,21.261,75.0,9.0,2940.35,1843.85,0.251,29.855,339.34,0.015,5.4193823000000005
,0.38684162673572003,2.1678453313789396,3.280468336980078,175.0,420.0,179.5,1.4,34.8085,229.5,28.713,28.45,4.0,4066.285,2655.2,2.05,47.2,1009.0,27.4405,2.47139325
,0.3445706629167039,3.144728884123531,3.853114812714418,132.5,191.0,129.5,1.05,76.94300425,95.5,8.2175,45.349999999999994,3.0,1598.75,660.1,0.9,13.135,163.025,237.0,1.7459334
0.027905735,0.5390897819801904,2.604406142640846,3.321685491973386,472.5,714.0,463.99999999999994,1.41,341.66949999999997,271.5,29.905,280.25,18.0,5736.25,2519.0,0.41,20.175,438.25,2.6,6.967675
0.220874667,0.4835397004695494,3.678290995201964,4.641749534562,87.5,165.5,95.0,2.37,22.9899708315,94.0,11.7025,30.77,1.0,1412.505,493.515,0.9,5.63,145.32000000000002,118.514,1.9170098500000003
,0.6576119691048992,2.1544051703807408,2.724201449207537,255.0,431.0,255.49999999999997,0.6799999999999999,86.58042,138.0,15.334999999999999,136.95,5.0,5747.5,3422.0,1.1965,81.65,758.0,447.0,2.2377816500000005
0.082748927,0.28576359821875974,3.7128800674814926,4.674137674752001,187.5,293.5,183.0,0.7999999999999998,127.87899999999999,134.0,15.356,64.5,8.0,2774.4,1710.9,0.251,24.57,324.56,0.01,3.7375882000000007
,0.34466574161023406,2.778633828613535,3.2591668820437416,102.5,223.5,115.0,2.41,23.504494713,143.5,22.081000000000003,22.61,2.0,1706.51,829.03,1.824,6.615,161.04,100.528,2.2011897000000005
,0.1413860822653813,3.097298740052285,3.1730224402566796,122.5,186.0,122.5,0.3700000000000001,72.32229749999999,89.0,7.894,40.0,5.0,1776.0,696.465,0.35,5.59,151.35,28.1,0.617
