Exyzz,MPE,Bond_mean,Bond_max,R_atom,R_vdw,R_cov,D_EN,m_atom,N_mendeleev,I,DP,Density,T_boil,T_melt,H_spec,H_fuse,H_evap,TC,EA
0.0,0.3259326526299704,5.686294745535179,9.517022178995079,117.5,253.5,125.0,1.7799999999999998,115.106903163,138.5,21.9035,30.740000000000002,12.0,2286.51,1395.03,0.133,14.315,308.54,73.528,4.183089700000001
20.0,0.31268562917319304,2.6597929302777428,4.201543871557981,287.5,371.0,266.0,1.1599999999999997,198.207,57.0,9.515,293.5,6.0,2864.0,1453.95,0.2945,17.7,239.6,24.43,0.66762
9.0,0.2773924040984405,2.4203613040935896,2.5457731892270608,145.0,188.0,123.5,0.78,118.22,92.5,8.234,34.7,6.0,1223.912,481.3,0.43,2.7699999999999996,86.45,23.185000000000002,1.227052015
1.0,0.3302480813883101,4.422440185592486,6.903140651144621,205.0,304.5,195.5,0.45999999999999996,177.43947,139.0,14.129999999999999,68.9,11.0,2544.0,1678.2,0.238,28.27,83.9,117.0,3.5840368
7.0,0.28283572733698364,4.979305298784532,8.079653200083644,207.5,314.0,200.0,0.0,176.553605,130.0,12.5685,77.5,11.0,3838.0,1945.2,0.3225,29.810000000000002,342.3,39.6,2.245876
9.0,0.2895318750076976,3.6167497091947802,4.517464564051,285.0,475.0,285.99999999999994,1.06,173.85049999999998,260.0,27.695500000000003,60.65,7.0,1977.8,1373.3,0.703,46.44,250.62,74.51,7.421936950000001
11.0,0.2997451884077783,3.6346723939908743,4.6235399541037205,160.0,276.5,155.5,2.49,59.809000000000005,103.0,16.457,103.89999999999999,2.0,918.69,575.8,0.301,9.2,144.0,0.054,1.4851135
12.0,0.27036088355779575,3.803613419155718,3.915326967785557,272.5,461.0,271.0,1.6600000000000001,161.37394,238.5,29.6945,66.2,11.0,3326.2,1978.9,0.14,25.17,419.82,28.768,7.38645
7.0,0.5188951131081099,2.3831045323481153,2.7667719601460505,325.0,506.5,320.0,1.0099999999999998,150.7715,165.5,19.994,178.9,11.0,6298.1,3389.5,1.569,33.43000000000001,693.6000000000001,33.37,2.13917
0.0,0.37948004710018035,2.736932342883384,2.9607511175022942,192.5,296.5,190.0,1.66,169.149,130.5,15.2225,72.5,9.0,3066.9,1517.4,0.146,23.12,317.06,11.505,3.3705882000000007
3.0,0.40378898087457693,3.3738449782885347,4.001527399780109,125.0,202.0,120.0,0.1499999999999999,137.9687845,87.0,9.4885,32.45,12.0,2019.05,913.79,0.129,8.955,199.85,159.26,2.16465
19.5,0.5458520233578431,2.639692154493808,2.702446992189039,167.5,201.0,142.0,0.24999999999999978,163.07,90.5,7.3580000000000005,46.5,9.0,1819.0,740.25,0.16649999999999998,12.194999999999999,178.8,35.265,0.7115
1.0,0.23470439174863011,0.0,0.0,192.5,294.0,182.0,1.27,136.111,147.0,16.3065,44.0,7.0,850.9,562.95,0.232,13.625,59.11,48.455000000000005,6.727176400000001
12.0,0.32652054161067756,3.412379220383793,4.668154963248738,280.0,401.0,273.0,0.4399999999999997,196.13076925000001,185.0,15.9045,93.4,11.0,4232.0,1822.6,0.7575000000000001,35.495,434.84999999999997,155.14499999999998,1.785415
11.0,0.42987239645190445,3.9706653993939756,6.344717041054339,417.5,685.5,413.0,0.41999999999999993,208.04500000000002,278.0,31.357999999999997,169.3,19.0,8763.148,5107.0,1.8405,44.46,906.0,1.08,5.27620806
1.5,0.2565935455772634,2.455747909465583,2.455747909465583,180.0,291.0,177.5,0.5,127.7655,139.5,14.238,48.65,7.0,4458.0,2813.9,0.5605,40.16,390.4,25.225,1.6770595
0.0,0.30199857508940026,1.7569400096729755,2.6432778366706984,137.5,312.5,159.0,2.37,41.988373994499995,200.0,29.122500000000002,34.51,3.0,1497.515,547.045,0.9,6.14,151.86,118.542,5.318199550000001
0.0,0.34466574161023406,2.778633828613535,3.2591668820437416,102.5,223.5,115.0,2.41,23.504494713,143.5,22.081000000000003,22.61,2.0,1706.51,829.03,1.824,6.615,161.04,100.528,2.2011897000000005
0.0,0.1413860822653813,3.097298740052285,3.1730224402566796,122.5,186.0,122.5,0.3700000000000001,72.32229749999999,89.0,7.894,40.0,5.0,1776.0,696.465,0.35,5.59,151.35,28.1,0.617
0.0,0.4034716060213019,3.1094914533275215,3.252800001587958,210.0,303.5,201.0,1.12,150.83797,130.5,13.863999999999999,82.9,7.0,2237.5,1353.2,0.523,24.92,253.25,21.9,3.0985367999999998
71.5,0.562297117216656,3.2119594843875494,3.9402712290260737,257.5,313.5,220.0,0.5,296.445,113.5,10.8285,98.5,18.0,4748.0,1852.15,0.23199999999999998,17.32,465.3,46.8,0.36374316
1.5,0.33455017047087116,3.2473128387180132,4.107827545154213,100.0,188.5,99.5,0.9199999999999999,45.357,94.5,10.054,20.75,2.0,2131.45,1419.45,1.025,17.085,267.03,13.702499999999999,1.8216556000000004
112.0,0.5426370447704462,3.097503000206801,3.1810674857560617,135.0,276.5,137.5,0.34999999999999964,62.54599999999999,117.0,14.94,47.3,8.0,7186.5,5111.5,0.83,25.5,0.0,60.09,1.7871190000000001
0.0,0.4337926837997019,3.106553564038799,3.234567886642416,127.5,199.0,125.5,1.86,106.97,76.0,9.8925,58.8,7.0,2854.3,1337.6,0.146,15.755,297.705,11.5045,1.8133625
17.5,0.48156578561927493,2.841841841772376,3.7461495440716566,167.5,286.5,172.5,0.010000000000000231,128.51576199800002,128.5,14.959,49.0,12.0,2603.0,1339.8,0.8235,13.39,284.8,71.6,1.810607
0.0,0.2699222275486548,2.832702646930103,3.745814298356433,215.0,373.5,213.49999999999997,0.9199999999999999,125.261,202.5,21.864,41.75,5.0,2463.35,1685.35,1.025,27.655,296.59,13.7075,5.185243800000001
0.0,0.3834057168906429,2.852072047323353,3.7099936360476287,127.5,258.5,140.0,2.6799999999999997,108.24340316300001,128.5,20.832500000000003,55.24,7.0,2820.01,1305.03,0.146,13.06,294.04,11.528,3.4081897000000008
0.0,0.362916874437664,2.824037119489012,3.7445052090056756,137.5,260.0,149.0,0.0,105.52090316299999,125.5,20.547,73.24,4.0,818.01,602.03,0.145,2.185,86.04,0.056,3.391189700000001
1.0,0.2864954580970459,2.843419691555062,3.747704730716914,132.5,195.0,131.0,0.49,77.29076925,92.0,7.497,47.9,4.0,2001.5,828.1,0.5505,14.33,166.95000000000002,125.65,1.2018529999999998
18.0,0.26790419438980057,3.7526521559489705,4.895372398508978,145.0,188.0,123.5,0.78,118.22,92.5,8.234,34.7,6.0,1223.912,481.3,0.43,2.7699999999999996,86.45,23.185000000000002,1.227052015
10.0,0.5547073288474104,3.701940651355679,4.859585493082837,212.5,304.5,195.0,0.1399999999999999,151.1067,129.5,12.4275,67.5,11.0,3410.5,1766.9,0.4265,28.884999999999998,384.5,69.88,1.624
4.0,0.2905757687022339,2.546215961316203,3.5655251096304106,130.0,193.0,113.5,1.2300000000000002,71.6591,89.5,10.268,34.8,6.0,1361.8,703.65,0.237,9.18,137.255,214.5045,2.4573625
0.0,0.34685390509675645,2.891935897988864,3.833121035049788,187.5,294.0,187.5,1.3599999999999999,126.35718499999999,132.0,15.189,70.0,7.0,2839.4,1636.4,0.268,23.97,369.56,26.855,3.8222912000000004
0.0,0.3701751101608771,2.808433236434325,3.916221183627238,177.5,290.5,174.5,0.9500000000000002,116.219,152.5,15.759500000000001,41.0,5.0,1883.4,871.1999999999999,0.322,28.97,193.56,30.105,3.9799442000000007
2.5,0.28160184801484817,2.9092068300381606,3.9312428195056297,150.0,208.5,132.0,0.17000000000000015,117.7341,87.0,8.2925,46.5,8.0,1874.0,978.9,0.219,14.93,151.95,221.65,1.6364379999999998
1.0,0.34113867084703703,3.972159304224082,6.24870075637509,170.0,285.0,163.0,0.3799999999999999,85.27000000000001,134.0,14.527999999999999,32.47,8.0,2424.324,1298.5,0.854,9.85,196.7,36.17,2.3581040300000002
-2.0,0.3934240666583396,1.7561800874768017,2.342644766071032,137.5,210.0,130.0,0.2999999999999998,162.28328449999998,87.5,9.117,37.0,12.0,2171.5,1030.1399999999999,0.165,15.295,194.9,166.15,2.139753
1.0,0.34462488897573035,1.6763453344984407,1.9448137161637005,167.5,281.5,160.5,0.96,132.99200000000002,141.5,17.439,38.6,12.0,2288.6,1194.7,0.133,17.29,255.41,35.809,4.676725
0.5,0.3495699405481343,4.902882279549489,7.832043250182687,320.0,555.5,325.5,1.04,104.0835,271.5,29.314,98.5,7.0,3574.56,1931.5,2.0915,12.475000000000001,237.55,11.625,5.232260075000001
167.0,0.6719398422609866,3.9676955350490526,6.530261391174947,255.0,302.5,206.5,0.40000000000000013,254.915,115.0,9.788,86.0,18.0,3816.5,1868.1,0.247,17.06,324.8,104.6,0.902
16.5,0.3164771077083647,2.5399926862680675,3.6023459403348506,87.5,182.5,93.5,1.1400000000000001,21.046,90.5,11.340499999999999,22.349999999999998,1.0,1352.7,873.145,0.703,50.6,383.0,74.513,-0.005239449999999923
0.0,0.2901890355665604,3.724852452719572,6.512820145421912,240.0,379.5,233.0,1.9600000000000002,131.8,174.0,22.5145,100.9,6.0,2127.4,1051.3,0.23,19.23,229.615,0.026999999999999996,10.838175
2.5,0.2753603408426198,2.3256286356101104,3.3689541080813403,277.5,402.0,262.0,0.38000000000000034,241.809455,195.5,19.404,82.35,13.0,2686.25,1699.55,0.244,34.18,309.925,150.0,5.1570552
7.5,0.34832994750637764,3.3952567280994668,5.513774663931361,135.0,196.5,130.0,0.29000000000000004,98.66149999999999,92.5,7.504,44.0,6.0,1969.5,512.815,0.2865,11.75,160.05,21.200000000000003,1.200438
15.0,0.3468407022511272,2.5612176379037086,3.1495727969908995,250.0,316.0,220.0,0.43999999999999995,148.555908,56.5,10.269,120.5,8.0,4110.5,2114.325,0.6355000000000001,18.185000000000002,421.6,33.45,0.36637158000000003
4.0,0.50974585164346,3.151060541446508,4.055487504396434,265.0,403.0,260.0,1.38,193.6365,163.0,17.4495,139.35,10.0,2469.15,1410.0,0.18,12.295000000000002,172.05,1.56,6.06201
